      94     4    5    6    7    8    9   10   11   12
       1     1    0    0    0    0    1    0    0    0
       2     0    0    0    0    0    1    0    0    0
       3     0    1    1    0    0    0    0    0    0
       4     0    0    0    0    0    0    1    1    1
       6     0    0    0    1    1    1    0    0    0
       7     0    0    0    0    1    1    0    0    0
       8     0    0    0    0    0    0    1    0    1
       9     0    0    0    0    0    0    1    0    1
      10     0    0    0    0    0    0    0    1    1

